date,Maricopa,Mohave,Navajo,Yuma,Coconino,Graham,Pinal,Santa Cruz,Unknown,Apache,Pima,Gila,Greenlee,Yavapai,Cochise,La Paz
01/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/26/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/27/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/28/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/29/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/30/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/31/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/02/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/04/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/05/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/06/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/07/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/08/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/10/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/11/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/13/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/14/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/16/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/17/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/18/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/19/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/20/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/21/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/22/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/23/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/24/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/25/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/26/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/27/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/29/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/04/2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/06/2020,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03/07/2020,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
03/08/2020,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
03/09/2020,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
03/10/2020,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
03/11/2020,3,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0
03/12/2020,3,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0
03/13/2020,3,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0
03/14/2020,4,0,0,0,0,1,5,0,0,0,2,0,0,0,0,0
03/15/2020,4,0,0,0,0,1,5,0,0,0,3,0,0,0,0,0
03/16/2020,8,0,0,0,0,1,5,0,0,0,4,0,0,0,0,0
03/17/2020,9,0,1,0,0,1,5,0,0,0,4,0,0,0,0,0
03/18/2020,11,0,2,0,1,1,8,0,0,0,5,0,0,0,0,0
03/19/2020,22,0,3,0,2,1,10,1,0,0,7,0,0,1,0,0
03/20/2020,34,0,3,1,11,1,10,1,0,0,8,0,0,1,0,0
03/21/2020,49,0,10,1,11,1,14,1,0,3,12,0,0,1,1,0
03/22/2020,81,0,13,1,15,2,16,1,0,3,17,0,0,3,1,0
03/23/2020,139,0,25,1,17,2,17,1,0,4,24,0,0,3,1,0
03/24/2020,199,0,32,2,18,2,22,1,0,4,42,0,0,3,1,0
03/25/2020,251,0,37,3,23,2,23,2,0,7,49,0,0,4,1,0
03/26/2020,299,2,43,4,28,2,35,2,0,9,75,0,0,5,2,2
03/27/2020,399,4,49,4,41,4,36,2,0,11,102,0,0,9,2,2
03/28/2020,454,5,57,4,56,2,41,2,0,13,120,1,0,13,3,2
03/29/2020,546,6,62,9,68,2,51,2,0,13,153,1,0,12,3,2
03/30/2020,690,7,88,12,73,2,64,2,0,17,187,1,1,19,4,2
03/31/2020,791,7,91,12,81,2,62,2,0,16,202,1,1,24,4,2
04/01/2020,871,7,102,12,85,2,65,3,0,17,217,1,1,24,4,2
04/02/2020,961,8,129,13,116,2,69,3,0,19,237,2,1,34,4,2
04/03/2020,1049,9,148,13,126,2,77,3,0,17,280,2,1,35,5,2
04/04/2020,1171,12,177,14,147,3,89,4,0,20,326,3,1,43,7,2
04/05/2020,1326,16,195,13,155,2,103,4,0,23,372,3,1,45,8,3
04/06/2020,1433,21,210,15,167,2,107,5,0,25,415,3,1,50,9,3
04/07/2020,1495,23,222,15,179,2,120,5,0,28,415,3,1,57,9,3
04/08/2020,1559,23,240,14,186,2,124,6,0,34,464,3,1,58,9,3
04/09/2020,1689,27,286,15,210,2,137,7,0,52,512,3,1,62,11,4
04/10/2020,1741,28,287,16,214,2,138,7,0,55,543,3,1,62,11,4
04/11/2020,1891,30,321,15,238,2,146,8,0,66,591,3,2,63,13,4
04/12/2020,1960,30,335,17,243,2,163,8,0,72,622,3,2,63,15,4
04/13/2020,2020,40,345,17,253,2,168,10,0,89,668,3,2,65,16,4
04/14/2020,2056,45,355,17,270,2,175,10,0,97,685,3,2,70,15,4
04/15/2020,2146,45,390,18,266,2,182,12,0,110,700,3,2,66,15,5
04/16/2020,2264,51,410,21,299,2,197,14,0,118,760,5,2,68,18,5
04/17/2020,2404,51,435,23,304,2,212,15,0,141,819,5,2,69,20,5
04/18/2020,2491,52,452,24,314,2,235,16,0,169,856,7,2,72,22,5
04/19/2020,2589,54,459,25,333,2,247,19,0,178,913,7,2,72,24,5
04/20/2020,2636,56,473,27,337,2,256,20,0,202,941,8,2,71,28,5
04/21/2020,2738,59,485,27,342,2,268,23,0,226,963,9,2,72,29,6
04/22/2020,2846,62,527,28,353,2,283,28,0,235,973,10,2,73,31,6
04/23/2020,2970,69,564,39,372,4,303,28,0,268,1026,12,2,75,31,6
04/24/2020,3116,73,583,42,391,7,317,30,0,296,1060,11,2,75,34,8
