date,Fairfield,Hartford,Litchfield,Middlesex,New London,Tolland,Unknown,Windham,New Haven
01/21/2020,0,0,0,0,0,0,0,0,0
01/22/2020,0,0,0,0,0,0,0,0,0
01/23/2020,0,0,0,0,0,0,0,0,0
01/24/2020,0,0,0,0,0,0,0,0,0
01/25/2020,0,0,0,0,0,0,0,0,0
01/26/2020,0,0,0,0,0,0,0,0,0
01/27/2020,0,0,0,0,0,0,0,0,0
01/28/2020,0,0,0,0,0,0,0,0,0
01/29/2020,0,0,0,0,0,0,0,0,0
01/30/2020,0,0,0,0,0,0,0,0,0
01/31/2020,0,0,0,0,0,0,0,0,0
02/01/2020,0,0,0,0,0,0,0,0,0
02/02/2020,0,0,0,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0,0,0,0
02/05/2020,0,0,0,0,0,0,0,0,0
02/06/2020,0,0,0,0,0,0,0,0,0
02/07/2020,0,0,0,0,0,0,0,0,0
02/08/2020,0,0,0,0,0,0,0,0,0
02/09/2020,0,0,0,0,0,0,0,0,0
02/10/2020,0,0,0,0,0,0,0,0,0
02/11/2020,0,0,0,0,0,0,0,0,0
02/12/2020,0,0,0,0,0,0,0,0,0
02/13/2020,0,0,0,0,0,0,0,0,0
02/14/2020,0,0,0,0,0,0,0,0,0
02/15/2020,0,0,0,0,0,0,0,0,0
02/16/2020,0,0,0,0,0,0,0,0,0
02/17/2020,0,0,0,0,0,0,0,0,0
02/18/2020,0,0,0,0,0,0,0,0,0
02/19/2020,0,0,0,0,0,0,0,0,0
02/20/2020,0,0,0,0,0,0,0,0,0
02/21/2020,0,0,0,0,0,0,0,0,0
02/22/2020,0,0,0,0,0,0,0,0,0
02/23/2020,0,0,0,0,0,0,0,0,0
02/24/2020,0,0,0,0,0,0,0,0,0
02/25/2020,0,0,0,0,0,0,0,0,0
02/26/2020,0,0,0,0,0,0,0,0,0
02/27/2020,0,0,0,0,0,0,0,0,0
02/28/2020,0,0,0,0,0,0,0,0,0
02/29/2020,0,0,0,0,0,0,0,0,0
03/01/2020,0,0,0,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0,0,0,0
03/05/2020,0,0,0,0,0,0,0,0,0
03/06/2020,0,0,0,0,0,0,0,0,0
03/07/2020,0,0,0,0,0,0,0,0,0
03/08/2020,1,0,0,0,0,0,0,0,0
03/09/2020,2,0,0,0,0,0,0,0,0
03/10/2020,2,0,0,0,0,0,0,0,0
03/11/2020,3,0,0,0,0,0,0,0,0
03/12/2020,5,0,1,0,0,0,0,0,0
03/13/2020,8,0,3,0,0,0,0,0,0
03/14/2020,15,1,3,0,0,0,0,0,1
03/15/2020,16,3,4,0,0,0,0,0,3
03/16/2020,29,4,4,0,0,0,0,0,4
03/17/2020,48,7,5,0,0,0,0,0,8
03/18/2020,69,11,5,1,0,0,0,0,10
03/19/2020,102,18,7,3,0,4,0,1,24
03/20/2020,122,29,8,5,1,4,0,1,24
03/21/2020,140,35,11,6,1,5,0,1,24
03/22/2020,208,54,12,6,3,14,0,1,29
03/23/2020,270,61,13,8,4,16,0,2,41
03/24/2020,384,88,22,8,6,19,0,2,89
03/25/2020,546,116,33,15,9,27,0,2,127
03/26/2020,607,138,44,18,13,33,0,3,156
03/27/2020,752,189,52,25,15,33,0,3,222
03/28/2020,908,228,65,28,19,37,0,3,236
03/29/2020,1245,276,87,38,20,40,0,7,280
03/30/2020,1445,330,113,50,24,50,176,10,373
03/31/2020,1870,393,121,56,27,56,77,11,517
04/01/2020,1986,469,131,66,29,61,185,19,611
04/02/2020,2132,539,141,74,29,67,174,21,647
04/03/2020,2717,679,173,91,40,79,218,27,891
04/04/2020,2824,726,182,100,57,91,241,31,1024
04/05/2020,3050,751,197,110,57,94,222,32,1162
04/06/2020,3719,882,230,135,65,103,264,40,1468
04/07/2020,4136,1045,255,150,85,111,292,43,1664
04/08/2020,4417,1290,292,174,120,128,366,49,1945
04/09/2020,4882,1471,315,205,139,145,392,52,2183
04/10/2020,5180,1615,346,240,156,152,407,59,2383
04/11/2020,5407,1832,388,290,185,171,456,66,2715
04/12/2020,5534,1914,403,299,190,182,501,66,2946
04/13/2020,6004,2243,446,339,222,195,491,83,3358
04/14/2020,6213,2370,460,355,227,201,533,87,3543
04/15/2020,6480,2570,490,379,236,216,537,89,3758
04/16/2020,6816,2859,535,394,255,241,534,87,4163
04/17/2020,7146,3015,569,422,292,258,495,92,4520
04/18/2020,7363,3196,593,448,315,270,525,97,4743
04/19/2020,7434,3351,600,462,339,276,529,100,4871
04/20/2020,8320,3823,639,484,356,299,514,108,5272
04/21/2020,8472,3951,643,512,369,305,503,112,5493
04/22/2020,9883,4128,722,525,397,331,550,122,5811
04/23/2020,10008,4303,751,545,419,359,522,129,6064
04/24/2020,10227,4570,808,561,448,375,507,139,6286
04/25/2020,10373,4761,834,576,473,384,521,151,6509
04/26/2020,10529,4989,864,588,498,407,522,157,6715
04/27/2020,10763,5157,892,609,516,419,484,164,6993
04/28/2020,10874,5224,900,618,530,422,491,164,7089
04/29/2020,10985,5388,919,631,540,427,507,165,7205
04/30/2020,11294,5601,963,657,564,437,462,186,7536
05/01/2020,11612,5931,1014,687,603,446,371,200,7900
05/02/2020,11801,6112,1036,707,623,461,312,211,8024
05/03/2020,11801,6112,1036,707,623,461,312,211,8024
05/04/2020,12245,6173,1047,713,641,464,363,217,8110
05/05/2020,12360,6351,1065,734,681,502,368,223,8337
05/06/2020,12455,6530,1085,742,704,513,305,242,8419
05/07/2020,12679,6750,1114,764,742,522,285,250,8678
05/08/2020,12879,6904,1130,775,755,530,302,249,8887
05/09/2020,13030,7105,1142,789,775,540,246,266,9091
05/10/2020,13236,7263,1153,798,782,543,300,270,9209
05/11/2020,13312,7358,1161,801,784,545,273,271,9260
05/12/2020,13488,7528,1171,823,793,556,263,281,9430
05/13/2020,13636,7732,1179,837,804,560,250,287,9570
05/14/2020,13836,7935,1203,863,821,568,235,291,9712
05/15/2020,14009,8126,1218,885,844,583,238,301,9881
05/16/2020,14140,8299,1234,898,860,636,257,304,10075
05/17/2020,14248,8723,1269,909,873,715,210,313,10159
05/18/2020,14439,8957,1280,936,876,735,233,322,10338
05/19/2020,14522,9050,1290,947,880,770,218,326,10427
05/20/2020,14719,9234,1299,965,896,786,202,329,10587
05/21/2020,14751,9299,1303,972,903,787,194,336,10663
05/22/2020,14889,9463,1298,992,910,796,188,348,10756
05/23/2020,14989,9545,1304,999,970,799,215,354,10847
05/24/2020,15114,9686,1331,1010,1046,807,210,359,10905
05/25/2020,15213,9841,1346,1012,1043,812,224,365,11017
05/26/2020,15355,9917,1360,1026,1075,821,257,371,11121
05/27/2020,15314,9962,1360,1061,1053,815,228,371,11124
05/28/2020,15353,10078,1366,1082,1067,822,218,375,11198
05/29/2020,15409,10146,1375,1090,1068,827,226,380,11241
05/30/2020,15502,10207,1381,1104,1076,833,229,381,11309
05/31/2020,15549,10296,1397,1104,1078,836,234,384,11323
06/01/2020,15709,10445,1400,1143,1091,845,240,388,11479
06/02/2020,15776,10536,1402,1154,1094,848,251,393,11525
06/03/2020,15789,10593,1404,1161,1100,856,248,392,11548
06/04/2020,15843,10636,1406,1171,1104,859,241,397,11582
06/05/2020,15914,10677,1409,1170,1108,859,245,405,11673
06/06/2020,16020,10747,1413,1174,1112,864,255,416,11817
06/07/2020,16056,10809,1419,1185,1119,864,268,420,11828
06/08/2020,16092,10844,1426,1187,1120,863,272,428,11860
06/09/2020,16108,10859,1432,1194,1122,873,286,430,11875
06/10/2020,16134,10924,1430,1199,1130,878,304,437,11911
06/11/2020,16155,10967,1435,1210,1147,883,293,441,11930
06/12/2020,16178,11103,1435,1216,1150,886,289,453,11979
06/13/2020,16277,11189,1439,1223,1198,885,299,463,12021
06/14/2020,16306,11218,1442,1229,1236,888,270,465,12034
06/15/2020,16338,11231,1441,1233,1240,888,342,467,12055
06/16/2020,16359,11261,1443,1235,1276,888,340,469,12078
06/17/2020,16381,11284,1444,1241,1285,889,345,471,12089
06/18/2020,16398,11322,1447,1246,1288,892,270,472,12105
06/19/2020,16425,11358,1448,1254,1203,893,273,567,12136
06/20/2020,16469,11392,1467,1258,1209,895,276,575,12174
06/21/2020,16475,11405,1467,1259,1217,895,273,579,12185
06/22/2020,16483,11414,1467,1259,1214,895,270,584,12196
06/23/2020,16522,11443,1469,1272,1221,898,262,587,12225
06/24/2020,16527,11450,1469,1273,1221,898,260,588,12227
06/25/2020,16547,11483,1469,1277,1219,899,260,595,12245
06/26/2020,16564,11511,1471,1282,1223,904,252,598,12254
06/27/2020,16606,11558,1482,1287,1241,906,252,599,12275
06/28/2020,16633,11587,1482,1292,1244,910,251,605,12299
06/29/2020,16664,11623,1487,1295,1255,909,205,606,12318
06/30/2020,16703,11662,1490,1305,1268,913,204,610,12359
07/01/2020,16717,11691,1490,1304,1268,913,209,612,12368
07/02/2020,16733,11716,1492,1311,1273,915,211,612,12383
07/03/2020,16757,11728,1494,1308,1277,915,213,616,12409
07/04/2020,16757,11728,1494,1308,1277,915,213,616,12409
07/05/2020,16757,11728,1494,1308,1277,915,213,616,12409
07/06/2020,16823,11794,1504,1321,1296,925,227,624,12462
07/07/2020,16837,11812,1508,1320,1304,925,227,627,12473
07/08/2020,16859,11835,1509,1331,1308,926,228,626,12486
07/09/2020,16886,11866,1510,1334,1319,928,227,630,12509
07/10/2020,16906,11892,1510,1335,1322,928,230,632,12532
