date,Unknown
01/22/2020,0
01/23/2020,0
01/24/2020,0
01/25/2020,0
01/26/2020,0
01/27/2020,0
01/28/2020,0
01/29/2020,0
01/30/2020,0
01/31/2020,0
02/01/2020,0
02/02/2020,0
02/03/2020,0
02/04/2020,0
02/05/2020,0
02/06/2020,0
02/07/2020,0
02/08/2020,0
02/09/2020,0
02/10/2020,0
02/11/2020,0
02/12/2020,0
02/13/2020,0
02/14/2020,0
02/15/2020,0
02/16/2020,0
02/17/2020,0
02/18/2020,0
02/19/2020,0
02/20/2020,0
02/21/2020,0
02/22/2020,0
02/23/2020,0
02/24/2020,0
02/25/2020,0
02/26/2020,0
02/27/2020,0
02/28/2020,0
02/29/2020,0
03/01/2020,0
03/02/2020,0
03/03/2020,0
03/04/2020,0
03/05/2020,0
03/06/2020,0
03/07/2020,0
03/08/2020,0
03/09/2020,0
03/10/2020,0
03/11/2020,0
03/12/2020,0
03/13/2020,0
03/14/2020,0
03/15/2020,3
03/16/2020,3
03/17/2020,3
03/18/2020,8
03/19/2020,12
03/20/2020,14
03/21/2020,15
03/22/2020,27
03/23/2020,29
03/24/2020,32
03/25/2020,32
03/26/2020,49
03/27/2020,53
03/28/2020,57
03/29/2020,58
03/30/2020,60
03/31/2020,139
04/01/2020,147
04/02/2020,152
04/03/2020,154
04/04/2020,223
04/05/2020,265
04/06/2020,266
04/07/2020,274
04/08/2020,409
04/09/2020,542
04/10/2020,577
04/11/2020,681
04/12/2020,716
04/13/2020,719
04/14/2020,721
04/15/2020,750
04/16/2020,790
04/17/2020,796
04/18/2020,805
04/19/2020,808
04/20/2020,811
04/21/2020,852
04/22/2020,911
04/23/2020,979
04/24/2020,997
04/25/2020,997
04/26/2020,997
04/27/2020,1113
04/28/2020,1114
04/29/2020,1114
04/30/2020,1115
05/01/2020,1115
05/02/2020,1117
05/03/2020,1118
05/04/2020,1118
05/05/2020,1118
05/06/2020,1118
05/07/2020,1118
05/08/2020,1120
05/09/2020,1120
05/10/2020,1120
05/11/2020,1120
05/12/2020,1121
05/13/2020,1121
05/14/2020,1121
05/15/2020,1123
05/16/2020,1123
05/17/2020,1123
05/18/2020,1123
05/19/2020,1123
05/20/2020,1134
05/21/2020,1134
05/22/2020,1134
05/23/2020,1134
05/24/2020,1135
05/25/2020,1135
05/26/2020,1139
05/27/2020,1140
05/28/2020,1141
05/29/2020,1141
05/30/2020,1141
05/31/2020,1144
06/01/2020,1144
06/02/2020,1146
06/03/2020,1146
06/04/2020,1148
06/05/2020,1148
06/06/2020,1148
06/07/2020,1148
06/08/2020,1149
06/09/2020,1149
06/10/2020,1149
06/11/2020,1152
06/12/2020,1153
06/13/2020,1154
06/14/2020,1154
06/15/2020,1155
06/16/2020,1155
06/17/2020,1157
06/18/2020,1162
06/19/2020,1169
06/20/2020,1191
06/21/2020,1191
06/22/2020,1191
06/23/2020,1194
06/24/2020,1200
06/25/2020,1214
06/26/2020,1217
06/27/2020,1217
06/28/2020,1217
06/29/2020,1224
06/30/2020,1228
07/01/2020,1240
07/02/2020,1249
07/03/2020,1255
07/04/2020,1257
07/05/2020,1257
07/06/2020,1270
07/07/2020,1272
07/08/2020,1276
07/09/2020,1278
07/10/2020,1279
