date,Bristol,Hampden,Middlesex,Norfolk,Franklin,Hampshire,Nantucket,Suffolk,Unknown,Barnstable,Worcester,Dukes,Essex,Plymouth,Berkshire
01/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/05/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/06/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/07/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/08/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/09/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/10/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/11/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/12/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/13/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/14/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/15/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/16/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/17/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/18/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/19/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/20/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/21/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/22/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/23/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/24/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/25/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/26/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/27/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/28/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
02/29/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
03/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
03/02/2020,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
03/03/2020,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
03/04/2020,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
03/05/2020,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
03/06/2020,0,0,1,3,0,0,0,4,0,0,0,0,0,0,0
03/07/2020,0,0,5,3,0,0,0,4,0,0,0,0,0,0,1
03/08/2020,0,0,10,7,0,0,0,9,0,0,1,0,0,0,1
03/09/2020,0,0,15,10,0,0,0,10,0,0,1,0,0,0,5
03/10/2020,0,0,41,22,0,0,0,20,0,0,1,0,1,0,7
03/11/2020,0,0,41,22,0,0,0,20,0,0,2,0,1,0,9
03/12/2020,0,0,49,24,0,0,0,22,0,0,2,0,2,0,9
03/13/2020,0,0,60,24,0,0,0,26,0,0,2,0,2,0,9
03/14/2020,1,0,65,28,0,0,0,27,0,1,2,0,5,0,9
03/15/2020,1,1,75,31,0,0,0,31,0,1,6,0,6,3,9
03/16/2020,2,1,83,36,0,0,0,42,1,1,8,0,7,5,11
03/17/2020,5,1,89,43,0,0,0,42,1,2,8,0,8,5,14
03/18/2020,5,2,100,45,1,0,0,51,4,2,10,0,14,5,17
03/19/2020,6,3,119,52,1,1,0,72,13,5,14,0,19,5,18
03/20/2020,6,3,144,64,1,2,0,87,18,9,19,0,29,11,20
03/21/2020,14,9,177,69,2,2,1,108,26,11,24,0,41,20,21
03/22/2020,24,12,199,75,2,4,1,126,34,24,37,0,60,25,23
03/23/2020,25,15,232,82,2,6,1,154,57,30,42,0,73,32,26
03/24/2020,31,24,304,129,5,8,2,234,90,40,73,0,118,64,37
03/25/2020,67,45,446,222,14,11,2,342,159,51,129,1,177,101,71
03/26/2020,90,55,538,292,16,17,2,448,267,67,166,1,247,138,73
03/27/2020,129,90,685,393,24,20,2,631,304,100,219,1,350,187,105
03/28/2020,179,183,842,490,39,30,5,843,358,133,291,1,472,272,119
03/29/2020,208,201,981,548,41,37,5,940,462,148,337,1,570,325,151
03/30/2020,263,255,1141,628,49,46,5,1115,491,173,390,1,653,380,162
03/31/2020,306,354,1340,738,61,69,5,1373,335,191,433,1,784,459,171
04/01/2020,366,475,1582,829,72,81,5,1624,256,255,563,1,885,561,183
04/02/2020,424,546,1870,938,85,102,7,1896,270,283,667,5,1039,621,213
