date,Unknown
01/22/2020,0
01/23/2020,0
01/24/2020,0
01/25/2020,0
01/26/2020,0
01/27/2020,0
01/28/2020,0
01/29/2020,0
01/30/2020,0
01/31/2020,0
02/01/2020,0
02/02/2020,0
02/03/2020,0
02/04/2020,0
02/05/2020,0
02/06/2020,0
02/07/2020,0
02/08/2020,0
02/09/2020,0
02/10/2020,0
02/11/2020,0
02/12/2020,0
02/13/2020,0
02/14/2020,0
02/15/2020,0
02/16/2020,0
02/17/2020,0
02/18/2020,0
02/19/2020,0
02/20/2020,0
02/21/2020,0
02/22/2020,0
02/23/2020,0
02/24/2020,0
02/25/2020,0
02/26/2020,0
02/27/2020,0
02/28/2020,0
02/29/2020,0
03/01/2020,0
03/02/2020,0
03/03/2020,0
03/04/2020,0
03/05/2020,0
03/06/2020,0
03/07/2020,0
03/08/2020,0
03/09/2020,0
03/10/2020,0
03/11/2020,0
03/12/2020,0
03/13/2020,3
03/14/2020,4
03/15/2020,5
03/16/2020,5
03/17/2020,5
03/18/2020,5
03/19/2020,6
03/20/2020,14
03/21/2020,21
03/22/2020,23
03/23/2020,31
03/24/2020,39
03/25/2020,51
03/26/2020,64
03/27/2020,79
03/28/2020,100
03/29/2020,127
03/30/2020,174
03/31/2020,239
04/01/2020,286
04/02/2020,316
04/03/2020,378
04/04/2020,452
04/05/2020,475
04/06/2020,513
04/07/2020,573
04/08/2020,620
04/09/2020,683
04/10/2020,725
04/11/2020,788
04/12/2020,897
04/13/2020,903
04/14/2020,923
04/15/2020,974
04/16/2020,1043
04/17/2020,1068
04/18/2020,1118
04/19/2020,1213
04/20/2020,1252
04/21/2020,915
04/22/2020,915
04/23/2020,1230
04/24/2020,1276
04/25/2020,1307
04/26/2020,1371
04/27/2020,1388
04/28/2020,1400
04/29/2020,1465
04/30/2020,1537
05/01/2020,1573
05/02/2020,1755
05/03/2020,1806
05/04/2020,1875
05/05/2020,1924
05/06/2020,1968
05/07/2020,2031
05/08/2020,2156
05/09/2020,2173
05/10/2020,2198
05/11/2020,2256
05/12/2020,2299
05/13/2020,2329
05/14/2020,2427
05/15/2020,2542
05/16/2020,2589
05/17/2020,2646
05/18/2020,2710
05/19/2020,2805
05/20/2020,2866
05/21/2020,2913
05/22/2020,3030
05/23/2020,3100
05/24/2020,3189
05/25/2020,3260
05/26/2020,3324
05/27/2020,3397
05/28/2020,3486
05/29/2020,3647
05/30/2020,3718
05/31/2020,3776
06/01/2020,3873
06/02/2020,3935
06/03/2020,4023
06/04/2020,4508
06/05/2020,4620
06/06/2020,4915
06/07/2020,4985
06/08/2020,5046
06/09/2020,5185
06/10/2020,5329
06/11/2020,5352
06/12/2020,5536
06/13/2020,5690
06/14/2020,5811
06/15/2020,5890
06/16/2020,5951
06/17/2020,6003
06/18/2020,6111
06/19/2020,6195
06/20/2020,6463
06/21/2020,6525
06/22/2020,6564
06/23/2020,6685
06/24/2020,6820
06/25/2020,6877
06/26/2020,6922
06/27/2020,7066
06/28/2020,7189
06/29/2020,7250
06/30/2020,7465
07/01/2020,7537
07/02/2020,7608
07/03/2020,7683
07/04/2020,7787
07/05/2020,7916
07/06/2020,8585
07/07/2020,8714
07/08/2020,8745
07/09/2020,8862
07/10/2020,9137
