date,Windham,Windsor,Addison,Caledonia,Essex,Unknown,Grand Isle,Orange,Rutland,Bennington,Chittenden,Lamoille,Orleans,Washington,Franklin
01/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/19/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/20/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03/08/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03/09/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03/10/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03/11/2020,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
03/12/2020,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
03/13/2020,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
03/14/2020,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0
03/15/2020,0,3,0,0,0,0,0,0,0,2,2,0,0,1,0
03/16/2020,0,3,0,0,0,0,0,1,0,3,4,0,0,1,0
03/17/2020,0,3,0,0,0,0,0,1,0,3,6,0,0,1,0
03/18/2020,0,3,0,0,0,0,0,1,0,3,11,0,0,1,0
03/19/2020,0,3,0,0,0,0,0,2,0,4,12,0,0,1,0
03/20/2020,0,6,1,0,0,0,0,3,1,4,12,0,0,2,0
03/21/2020,2,8,3,0,0,0,0,3,3,4,22,0,0,2,2
03/22/2020,5,8,3,0,0,0,0,3,3,4,22,0,0,2,2
03/23/2020,5,8,3,0,0,23,0,3,3,4,22,0,0,2,2
03/24/2020,5,15,8,1,0,2,0,3,5,9,40,0,2,3,2
03/25/2020,7,17,9,1,0,0,0,3,5,11,55,4,3,5,3
03/26/2020,7,17,12,1,0,8,0,3,5,11,75,5,3,7,4
03/27/2020,9,18,13,2,0,6,0,3,5,13,90,6,4,9,6
03/28/2020,9,18,15,2,0,7,0,3,6,15,105,9,5,10,7
03/29/2020,11,18,17,2,0,7,0,3,6,16,117,12,5,12,9
03/30/2020,11,18,21,2,0,2,0,4,6,17,133,13,5,13,11
03/31/2020,11,18,23,2,0,11,0,4,6,18,152,13,7,15,13
04/01/2020,16,18,24,3,0,14,0,4,10,18,164,13,7,15,15
04/02/2020,18,20,26,4,0,8,0,4,12,17,177,14,7,15,16
04/03/2020,21,20,32,4,0,6,0,4,17,19,199,17,8,21,21
