date,Unknown
01/22/2020,0
01/23/2020,0
01/24/2020,0
01/25/2020,0
01/26/2020,0
01/27/2020,0
01/28/2020,0
01/29/2020,0
01/30/2020,0
01/31/2020,0
02/01/2020,0
02/02/2020,0
02/03/2020,0
02/04/2020,0
02/05/2020,0
02/06/2020,0
02/07/2020,0
02/08/2020,0
02/09/2020,0
02/10/2020,0
02/11/2020,0
02/12/2020,0
02/13/2020,0
02/14/2020,0
02/15/2020,0
02/16/2020,0
02/17/2020,0
02/18/2020,0
02/19/2020,0
02/20/2020,0
02/21/2020,0
02/22/2020,0
02/23/2020,0
02/24/2020,0
02/25/2020,0
02/26/2020,0
02/27/2020,0
02/28/2020,0
02/29/2020,0
03/01/2020,0
03/02/2020,0
03/03/2020,0
03/04/2020,0
03/05/2020,0
03/06/2020,0
03/07/2020,0
03/08/2020,0
03/09/2020,0
03/10/2020,0
03/11/2020,0
03/12/2020,0
03/13/2020,0
03/14/2020,1
03/15/2020,1
03/16/2020,2
03/17/2020,2
03/18/2020,3
03/19/2020,3
03/20/2020,6
03/21/2020,6
03/22/2020,17
03/23/2020,17
03/24/2020,17
03/25/2020,17
03/26/2020,17
03/27/2020,19
03/28/2020,19
03/29/2020,23
03/30/2020,30
03/31/2020,30
04/01/2020,30
04/02/2020,37
04/03/2020,38
04/04/2020,42
04/05/2020,42
04/06/2020,43
04/07/2020,45
04/08/2020,45
04/09/2020,46
04/10/2020,46
04/11/2020,51
04/12/2020,51
04/13/2020,51
04/14/2020,51
04/15/2020,51
04/16/2020,51
04/17/2020,51
04/18/2020,53
04/19/2020,53
04/20/2020,54
04/21/2020,54
04/22/2020,54
04/23/2020,54
04/24/2020,54
04/25/2020,55
04/26/2020,57
04/27/2020,59
04/28/2020,59
04/29/2020,66
04/30/2020,66
05/01/2020,66
05/02/2020,66
05/03/2020,66
05/04/2020,66
05/05/2020,66
05/06/2020,66
05/07/2020,66
05/08/2020,68
05/09/2020,69
05/10/2020,69
05/11/2020,69
05/12/2020,69
05/13/2020,69
05/14/2020,69
05/15/2020,69
05/16/2020,69
05/17/2020,69
05/18/2020,69
05/19/2020,69
05/20/2020,69
05/21/2020,69
05/22/2020,69
05/23/2020,69
05/24/2020,69
05/25/2020,69
05/26/2020,69
05/27/2020,69
05/28/2020,69
05/29/2020,69
05/30/2020,69
05/31/2020,69
06/01/2020,70
06/02/2020,70
06/03/2020,70
06/04/2020,71
06/05/2020,71
06/06/2020,71
06/07/2020,71
06/08/2020,71
06/09/2020,71
06/10/2020,72
06/11/2020,72
06/12/2020,72
06/13/2020,72
06/14/2020,72
06/15/2020,72
06/16/2020,72
06/17/2020,73
06/18/2020,73
06/19/2020,73
06/20/2020,74
06/21/2020,76
06/22/2020,76
06/23/2020,76
06/24/2020,78
06/25/2020,81
06/26/2020,81
06/27/2020,81
06/28/2020,81
06/29/2020,81
06/30/2020,81
07/01/2020,90
07/02/2020,98
07/03/2020,111
07/04/2020,111
07/05/2020,112
07/06/2020,112
07/07/2020,122
07/08/2020,144
07/09/2020,144
07/10/2020,167
